hassle	-0.675	31	66
complaints	0.064	20	20
fuzzball	3.431	86	2
quantity	1.120	22	7
illegal	-0.501	57	101
problem	-0.721	745	1634
lag	-0.397	64	102
prob	-0.589	341	656
quoting	1.203	49	15
NOT FOUND
obsessed	0.722	333	172
NOT FOUND
NOT FOUND
blessings	2.385	274	26
embarrassed	-0.732	36	81
recommendation	2.620	334	25
sue	0.767	102	50
vamp	0.958	21	8
genre	1.471	48	11
giggling	1.818	51	8
NOT FOUND
confusing	-0.497	184	323
sipping	0.842	121	55
NOT FOUND
happier	0.673	183	99
damage	-0.865	61	156
smiling	2.141	542	67
NOT FOUND
negativity	0.309	22	17
stumble	0.911	34	14
hurts	-2.686	399	6253
nifty	1.760	59	10
refer	1.554	70	15
shabby	-0.342	5	8
shock	-0.357	129	197
NOT FOUND
amazin	1.035	102	38
tempt	-0.032	9	10
NOT FOUND
agenda	1.050	117	43
geeky	0.956	82	33
NOT FOUND
bag	-0.070	656	750
choke	-0.191	37	48
worries	-0.644	33	68
would've	-0.652	151	310
mistakes	-0.053	88	99
boundaries	0.670	10	5
underestimate	-0.119	4	5
complaining	-0.294	78	112
probs	-0.146	200	247
confuse	-0.415	43	70
hurry	-0.180	332	424
confused	-0.877	398	1021
cuter	1.462	80	19
dirty	-0.075	368	423
hatin	-0.712	28	62
NOT FOUND
picky	-0.216	30	40
pressure	-0.484	132	229
excellent	1.688	953	187
guessed	0.310	77	60
weirdo	0.695	46	24
refuse	-0.306	102	148
NOT FOUND
publicly	0.469	14	9
NOT FOUND
cease	-0.555	6	12
drinker	1.961	19	2
argue	0.179	45	40
least	0.018	3632	3800
wrong	-1.071	1375	4279
shabby	-0.342	5	8
waitt	-1.440	1	8
blessed	2.308	810	85
burden	-0.462	12	21
careful	0.375	279	204
judging	0.599	69	40
upbeat	0.859	30	13
flames	0.064	30	30
lines	0.583	505	300
selfish	-0.747	51	116
random	0.652	1121	622
NOT FOUND
aged	0.093	34	33
competition	0.871	315	140
reward	1.352	115	31
prototype	-0.159	43	54
strings	0.406	68	48
dissapoint	-0.293	6	9
retweeted	1.558	48	10
question	0.712	1097	573
complaining	-0.294	78	112
weird	-0.120	1451	1743
problems	-1.025	353	1051
regret	-1.428	69	310
sweat	-0.082	120	139
cutest	1.072	347	126
blush	1.642	125	25
attack	-0.598	227	441
dive	0.179	54	48
resist	0.218	76	65
beats	0.584	201	119
afraid	-1.113	265	862
racist	-0.649	25	52
towns	0.510	24	15
laughed	0.407	233	165
woop	1.116	466	162
offence	0.246	5	4
doubted	0.911	6	2
funnier	0.946	57	23
cat's	-0.460	31	53
amazed	1.108	195	68
crashed	-1.721	111	666
goofy	1.105	67	23
verb	1.337	24	6
offended	-0.604	39	77
apologies	-0.550	78	145
sober	0.171	147	132
newspapers	0.757	35	17
yer	0.760	276	137
disagree	1.326	105	29
make-up	0.514	79	50
questions	0.773	546	268
converse	0.757	89	44
blessing	1.702	174	33
relation	1.545	21	4
worrying	-1.323	47	191
creeped	-0.629	13	27
appreciates	1.372	36	9
bets	0.554	48	29
h8	-1.816	19	130
collective	0.494	39	25
associated	0.118	18	17
copying	0.382	32	23
wait	-0.469	2586	4408
disturb	-0.542	5	10
sarcastic	0.543	62	38
divide	1.075	32	11
groupie	1.504	37	8
biggie	0.260	27	22
piss	-0.298	132	190
stranger	0.544	130	80
shy	-0.142	82	101
forget	-0.217	574	760
trade	0.285	185	148
worry	-0.386	189	297
panic	-0.504	118	209
smile	2.161	2516	308
particular	0.376	107	78
scum	-0.324	18	27
pros	0.305	27	21
mutually	0.623	6	3
disappoints	-1.882	1	13
irrelevant	0.064	18	18
stalking	0.584	142	84
directed	0.798	49	23
amaze	1.093	41	14
NOT FOUND
tire	-1.330	66	269
traveled	-0.534	10	19
tension	-0.296	29	42
ty	1.510	632	148
creepy	-0.207	218	286
biggy	2.010	6	0
intention	0.336	20	15
orkut	0.252	34	28
dork	1.050	200	74
admiration	1.268	9	2
beliefs	0.817	16	7
relationship	-0.246	159	217
dum	0.815	52	24
tempted	-0.191	137	177
expert	1.494	137	32
crushes	0.297	23	18
aiming	0.575	44	26
NOT FOUND
showering	0.497	73	47
trance	1.855	5	0
lies	-0.090	119	139
kindly	2.235	113	12
existed	0.121	17	16
honoured	2.030	49	6
fart	0.205	52	45
guilt	-0.629	36	73
kindness	1.686	80	15
darling	0.828	377	175
gender	0.453	30	20
lack	-0.981	227	647
humble	1.276	83	24
talent	0.739	551	280
flicks	0.501	47	30
NOT FOUND
poke	0.782	79	38
greedy	0.159	54	49
perspective	1.519	89	20
sweeter	1.549	52	11
pixels	-0.159	15	19
polite	1.450	59	14
wakes	-0.182	78	100
introduce	1.506	109	25
pipe	-0.067	42	48
guilty	-0.652	199	408
disappointed	-2.583	107	1522
define	1.580	40	8
trouble	-0.725	422	930
fret	1.045	7	2
boring	-1.243	881	3258
pants	-0.102	443	523
NOT FOUND
embarrassed	-0.732	36	81
awkward	-0.097	171	201
teacher	0.026	439	456
greedy	0.159	54	49
limit	0.307	407	319
complex	0.028	81	84
ashamed	-1.637	39	218
praise	1.641	246	50
giggle	1.888	154	24
fear	-0.584	192	368
your	0.817	43926	20670
amazingly	0.959	190	77
teenagers	0.169	39	35
closely	0.779	44	21
accidentally	-1.463	77	358
faint	-0.245	35	48
resist	0.218	76	65
readers	0.600	52	30
niggas	0.005	49	52
exam	-0.647	1731	3525
noise	-0.505	140	248
perfection	1.385	74	19
mistaken	0.458	42	28
introduced	1.214	78	24
cheeky	1.037	89	33
tasted	-0.408	62	100
thank	2.035	15446	2150
proud	2.000	1857	267
scared	-1.586	403	2101
adorable	1.439	881	222
bite	-0.585	172	330
harm	-0.629	9	19
worried	-1.796	214	1380
advanced	0.409	71	50
homo	0.101	26	25
hide	-0.136	184	225
cheating	-0.917	44	119
apologize	-0.447	83	139
lame	-1.000	496	1439
laughter	1.640	149	30
bugs	-0.570	182	344
worry	-0.386	189	297
everyday	0.121	609	575
jewelry	0.966	105	42
rocked	0.941	326	135
cuppa	0.817	137	64
disagree	1.326	105	29
knock	0.565	217	131
hoe	0.092	71	69
evil	-0.289	368	524
shy	-0.142	82	101
jinx	-0.396	11	18
hoot	1.238	54	16
regrets	-1.623	9	53
cunt	-0.132	36	44
sweety	0.825	121	56
twibe	1.712	51	9
ahem	1.236	112	34
overrated	0.351	63	47
followfriday	2.992	2447	130
soothing	1.050	58	21
ways	0.583	409	243
prince	0.817	292	137
brighten	1.150	82	27
plague	-1.363	11	49
snarky	1.162	17	5
lb	0.144	64	59
cells	-0.170	37	47
chars	0.529	42	26
alphabet	0.962	26	10
wipe	-0.537	33	61
bias	0.798	24	11
suprise	0.536	84	52
syndrome	-0.384	45	71
stealing	-0.107	85	101
reveal	1.162	44	14
champ	0.888	72	31
ddub	0.537	68	42
measure	1.037	44	16
disappoint	-1.094	21	69
believing	0.718	49	25
addictive	0.919	213	90
bs	-0.342	93	140
lah	-0.102	71	84
hangover	0.042	813	831
judgement	0.407	30	21
war	0.112	314	299
critical	-0.263	43	60
u'd	0.793	55	26
knows	0.318	1018	789
everybody	0.547	1121	691
children	0.049	392	398
referring	0.960	124	50
offended	-0.604	39	77
bore	-0.372	43	67
solved	0.888	113	49
hard	-0.560	3037	5666
supporting	0.870	167	74
nonetheless	0.992	85	33
crazy	0.072	2646	2623
same	0.054	4416	4459
forgetting	-0.420	126	205
worries	-0.644	33	68
evidence	0.757	53	26
gamer	0.904	50	21
diss	-0.587	11	22
brag	1.910	18	2
annoying	2.926	34	1
already	-0.475	4975	8524
often	0.638	754	424
harm	-0.629	9	19
complain	0.064	88	88
spoil	0.080	62	61
bite	-0.585	172	330
stress	-0.067	444	506
less	-0.069	1373	1568
rush	0.086	221	216
issue	-0.264	332	461
believing	0.718	49	25
rep	0.275	62	50
f*ck	-0.845	26	66
spice	0.850	89	40
overboard	1.114	19	6
snapping	-0.273	14	20
huge	-0.071	1132	1295
decorate	0.786	34	16
kudos	1.715	145	27
organizing	0.846	93	42
perverted	-0.016	11	12
priorities	0.776	52	25
described	0.159	21	19
whack	-0.758	39	90
tacky	0.447	21	14
regrets	-1.623	9	53
comedian	1.136	37	12
eats	0.095	96	93
congratulate	2.386	50	4
coughing	-2.594	26	384
tails	0.980	24	9
muddy	-0.304	26	38
mature	0.757	69	34
failing	-1.674	65	374
floating	0.046	55	56
vice	0.694	61	32
loudly	-0.251	45	62
mistaken	0.458	42	28
addicted	0.728	613	315
refreshing	1.098	210	74
overdo	-1.882	0	6
dreamed	-0.417	46	75
sleeps	0.333	164	125
duet	1.125	77	26
modest	1.033	28	10
spill	0.282	55	44
yesterdays	-0.040	45	50
bliss	1.354	217	59
curse	-0.882	79	205
phase	0.315	89	69
recommended	1.467	178	43
fuss	0.641	56	31
singers	1.128	57	19
